element,position,multiplier,is_captain,is_vice_captain
152,1,1,False,False
306,2,1,False,False
357,3,1,False,False
10,4,1,False,False
13,5,1,False,False
19,6,1,False,False
283,7,2,False,True
314,8,1,False,False
346,9,1,False,False
210,10,1,False,False
80,11,1,False,False
254,12,0,False,False
318,13,0,True,False
167,14,0,False,False
558,15,0,False,False
