element,position,multiplier,is_captain,is_vice_captain
152,1,1,False,False
357,2,1,False,False
306,3,1,False,False
10,4,1,False,False
283,5,1,False,False
19,6,1,False,False
314,7,1,False,True
369,8,1,False,False
346,9,1,False,False
318,10,2,True,False
66,11,1,False,False
254,12,0,False,False
356,13,0,False,False
167,14,0,False,False
558,15,0,False,False
