element,position,multiplier,is_captain,is_vice_captain
81,1,1,False,False
357,2,1,False,False
586,3,1,False,False
92,4,1,False,False
124,5,2,True,False
13,6,1,False,False
335,7,1,False,False
107,8,1,False,False
318,9,1,False,False
80,10,1,False,True
427,11,1,False,False
133,12,0,False,False
313,13,0,False,False
7,14,0,False,False
377,15,0,False,False
