team_id,gw,second_name,player_id,position,multiplier
31191,12,McLean,286,5,1
31191,12,Maguire,160,6,1
31191,12,Arrizabalaga,111,7,1
31191,12,Buendía,283,8,2
31191,12,Lamela,346,9,1
31191,12,Agüero,210,10,1
31191,12,Surman,80,11,1
31191,12,Lewis,548,12,0
31191,12,McCarthy,318,13,0
31191,12,Torreira,19,14,0
31191,12,Valery,306,15,0
31191,13,Cresswell,376,1,1
31191,13,Femenía Far,357,2,1
31191,13,Valery,306,3,1
31191,13,McLean,286,4,1
31191,13,Nketiah,13,5,1
31191,13,Torreira,19,6,1
31191,13,Maguire,160,7,1
31191,13,Buendía,283,8,1
31191,13,McCarthy,318,9,2
31191,13,Agüero,210,10,1
31191,13,Surman,80,11,1
31191,13,Lewis,548,12,0
31191,13,Lamela,346,13,0
31191,13,Iheanacho,167,14,0
31191,13,Egan,295,15,0
31191,14,Cresswell,376,1,1
31191,14,McLean,286,2,1
31191,14,Valery,306,3,1
31191,14,Femenía Far,357,4,1
31191,14,Iheanacho,167,5,1
31191,14,Obafemi,314,6,1
31191,14,Nketiah,13,7,1
31191,14,Buendía,283,8,2
31191,14,Torreira,19,9,1
31191,14,Agüero,210,10,1
31191,14,Surman,80,11,1
31191,14,Lewis,548,12,0
31191,14,McCarthy,318,13,0
31191,14,Lamela,346,14,0
31191,14,Egan,295,15,0
31191,15,Cresswell,376,1,1
31191,15,Femenía Far,357,2,1
31191,15,Valery,306,3,1
31191,15,Iheanacho,167,4,1
31191,15,Son,342,5,1
31191,15,Nketiah,13,6,1
31191,15,Torreira,19,7,1
31191,15,Obafemi,314,8,1
31191,15,Buendía,283,9,1
31191,15,McCarthy,318,10,2
31191,15,Mariappa,356,11,1
31191,15,Lewis,548,12,0
31191,15,Egan,295,13,0
31191,15,Lamela,346,14,0
31191,15,Surman,80,15,0
31191,16,Cresswell,376,1,1
31191,16,Iheanacho,167,2,1
31191,16,Valery,306,3,1
31191,16,Femenía Far,357,4,1
31191,16,Obafemi,314,5,1
31191,16,Nketiah,13,6,1
31191,16,Buendía,283,7,2
31191,16,Torreira,19,8,1
31191,16,Lamela,346,9,1
31191,16,Mariappa,356,10,1
31191,16,McCarthy,318,11,1
31191,16,Lewis,548,12,0
31191,16,Balogun,40,13,0
31191,16,Egan,295,14,0
31191,16,Son,342,15,0
31191,17,Zaha,133,1,1
31191,17,Tosun,146,2,1
31191,17,Valery,306,3,1
31191,17,Femenía Far,357,4,1
31191,17,Stacey,446,5,1
31191,17,Nketiah,13,6,1
31191,17,Buendía,283,7,1
31191,17,Torreira,19,8,1
31191,17,Lamela,346,9,1
31191,17,McCarthy,318,10,2
31191,17,Grant,237,11,1
31191,17,Fernández,254,12,0
31191,17,Mariappa,356,13,0
31191,17,Austin,558,14,0
31191,17,Son,342,15,0
31191,18,Zaha,133,1,1
31191,18,Femenía Far,357,2,1
31191,18,Rose,332,3,1
31191,18,Ogbonna,377,4,1
31191,18,Torreira,19,5,1
31191,18,Fleck,301,6,1
31191,18,Buendía,283,7,1
31191,18,Foyth,335,8,1
31191,18,Baines,145,9,1
31191,18,McCarthy,318,10,2
31191,18,Agüero,210,11,1
31191,18,Fernández,254,12,0
31191,18,Lamela,346,13,0
31191,18,de Gea,235,14,0
31191,18,Tavares,197,15,0
31191,19,Zaha,133,1,1
31191,19,Femenía Far,357,2,1
31191,19,Rose,332,3,1
31191,19,Ogbonna,377,4,1
31191,19,Torreira,19,5,1
31191,19,Fleck,301,6,1
31191,19,Buendía,283,7,1
31191,19,Foyth,335,8,1
31191,19,Baines,145,9,1
31191,19,McCarthy,318,10,2
31191,19,Agüero,210,11,1
31191,19,Fernández,254,12,0
31191,19,Lamela,346,13,0
31191,19,de Gea,235,14,0
31191,19,Tavares,197,15,0
31191,20,Zaha,133,1,1
31191,20,Femenía Far,357,2,1
31191,20,Rose,332,3,1
31191,20,Ogbonna,377,4,1
31191,20,Torreira,19,5,1
31191,20,Fleck,301,6,1
31191,20,Buendía,283,7,1
31191,20,Foyth,335,8,1
31191,20,Baines,145,9,1
31191,20,McCarthy,318,10,2
31191,20,Agüero,210,11,1
31191,20,Fernández,254,12,0
31191,20,de Gea,235,13,0
31191,20,Lamela,346,14,0
31191,20,Tavares,197,15,0
31191,21,Fernández,254,1,1
31191,21,Femenía Far,357,2,1
31191,21,de Gea,235,3,1
31191,21,Ogbonna,377,4,1
31191,21,Torreira,19,5,1
31191,21,Fleck,301,6,1
31191,21,Buendía,283,7,1
31191,21,Foyth,335,8,1
31191,21,Koscielny,7,9,1
31191,21,McCarthy,318,10,2
31191,21,Agüero,210,11,1
31191,21,Zaha,133,12,0
31191,21,Koiki,596,13,0
